ServiceNo,Direction,StopSequence,Operator,BusStopCode,Distance,RoadName,Description,Latitude,Longitude,Category,OriginCode,DestinationCode,LoopDesc,AM_Peak_avg,AM_Offpeak_avg,PM_Peak_avg,PM_Offpeak_avg
10,2,31,SBST,3071,11.6,Robinson Rd,OPP SO SOFITEL S'PORE,1.27990609626764,103.8494003042448,TRUNK,16009,75009,N,10,13,11,16
10,2,32,SBST,3031,11.9,Robinson Rd,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066,TRUNK,16009,75009,N,10,13,11,16
10,2,33,SBST,3011,12.5,Fullerton Rd,Fullerton Sq,1.28561840945474,103.85342223246428,TRUNK,16009,75009,N,10,13,11,16
10,2,34,SBST,2111,13.1,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228,TRUNK,16009,75009,N,10,13,11,16
10,2,35,SBST,80151,13.8,Nicoll Highway,Opp Suntec City,1.2964053214202,103.85791133392289,TRUNK,16009,75009,N,10,13,11,16
10,2,36,SBST,80161,14.5,Nicoll Highway,Opp Nicoll Highway Stn,1.30032715605093,103.8624541086332,TRUNK,16009,75009,N,10,13,11,16
10,2,37,SBST,80211,16.1,Nicoll Highway,Opp Natl Stadium,1.30712803633755,103.87548108759091,TRUNK,16009,75009,N,10,13,11,16
10,2,38,SBST,80149,16.7,Mountbatten Rd,S.A. Deaf,1.3074963710946,103.8798058337351,TRUNK,16009,75009,N,10,13,11,16
10,2,39,SBST,81171,17.3,Old Airport Rd,Blk 39,1.30751703730041,103.88500750064324,TRUNK,16009,75009,N,10,13,11,16
10,2,40,SBST,81181,17.8,Old Airport Rd,Dakota Stn Exit A/Blk 99,1.30845544825732,103.88847214403827,TRUNK,16009,75009,N,10,13,11,16
10,2,41,SBST,81191,18.2,Dunman Rd,AFT OLD AIRPORT RD,1.30913166702397,103.89180000002516,TRUNK,16009,75009,N,10,13,11,16
10,2,42,SBST,82079,18.7,Tg Katong Rd,Tg Katong Girls' Sch,1.30801114591342,103.8951960850957,TRUNK,16009,75009,N,10,13,11,16
10,2,43,SBST,92169,19.1,Tg Katong Rd,Bef Katong PO,1.30446125380385,103.8965604644894,TRUNK,16009,75009,N,10,13,11,16
10,2,44,SBST,92091,19.7,Mountbatten Rd,Opp One Amber,1.30270333303256,103.89931388900564,TRUNK,16009,75009,N,10,13,11,16
10,2,45,SBST,92101,20.0,Mountbatten Rd,Katong Shop Ctr,1.30370246223719,103.90129169936806,TRUNK,16009,75009,N,10,13,11,16
10,2,46,SBST,92111,20.2,East Coast Rd,Opp Roxy Sq,1.30477657929676,103.90293341562068,TRUNK,16009,75009,N,10,13,11,16
10,2,47,SBST,92121,20.7,East Coast Rd,Opp The Holy Family Ch,1.30722207111074,103.90676515165585,TRUNK,16009,75009,N,10,13,11,16
10,2,48,SBST,92131,21.2,East Coast Rd,Katong Omega Apt,1.30878111099591,103.91089222198016,TRUNK,16009,75009,N,10,13,11,16
10,2,49,SBST,92141,21.6,East Coast Rd,Nafa Arts Kindergarten,1.30939538245506,103.91428724575974,TRUNK,16009,75009,N,10,13,11,16
10,2,50,SBST,92151,21.8,East Coast Rd,Christ Meth Ch,1.3098029425373,103.91602380242344,TRUNK,16009,75009,N,10,13,11,16
10,2,51,SBST,93051,22.1,East Coast Rd,Aft Dunbar Wk,1.31065440276409,103.9186692238074,TRUNK,16009,75009,N,10,13,11,16
10,2,52,SBST,93061,22.5,East Coast Rd,Bef Siglap Rd,1.31199515605411,103.92260670662348,TRUNK,16009,75009,N,10,13,11,16
10,2,53,SBST,93071,22.9,Upp East Coast Rd,Crescendo Bldg,1.31293014528666,103.92634861688488,TRUNK,16009,75009,N,10,13,11,16
10,2,54,SBST,93081,23.3,Upp East Coast Rd,Opp Chiang Ct,1.31342707975776,103.92903327944508,TRUNK,16009,75009,N,10,13,11,16
10,2,55,SBST,93091,23.6,Upp East Coast Rd,Opp Siglap Sth CC,1.31398835332345,103.93157431388184,TRUNK,16009,75009,N,10,13,11,16
10,2,56,SBST,94011,24.0,Upp East Coast Rd,Evergreen Gdn,1.31438169513219,103.9351058006447,TRUNK,16009,75009,N,10,13,11,16
10,2,57,SBST,94021,24.4,Upp East Coast Rd,Bef Sennett Rd,1.31475174256228,103.93834590911956,TRUNK,16009,75009,N,10,13,11,16
10,2,58,SBST,94031,24.7,Upp East Coast Rd,The Summit,1.31504670788151,103.94089937209914,TRUNK,16009,75009,N,10,13,11,16
10,2,59,SBST,94041,25.1,Upp East Coast Rd,Aft Parbury Ave,1.31619439069366,103.94430577752212,TRUNK,16009,75009,N,10,13,11,16
10,2,60,SBST,94051,25.5,Upp East Coast Rd,Opp Temasek Sec Sch,1.31710244970995,103.94737959133388,TRUNK,16009,75009,N,10,13,11,16
10,2,61,SBST,94061,26.0,Upp East Coast Rd,Kew Green Condo,1.31843666702467,103.95138333302128,TRUNK,16009,75009,N,10,13,11,16
10,2,62,SBST,94071,26.5,Upp East Coast Rd,Opp Bedok Camp 2,1.31990193658073,103.95514880285305,TRUNK,16009,75009,N,10,13,11,16
10,2,63,SBST,85021,26.9,Bedok Rd,Country Pk,1.32190305598591,103.95468472199644,TRUNK,16009,75009,N,10,13,11,16
10,2,64,SBST,85031,27.3,Bedok Rd,Excelsior Gdns,1.32501115145725,103.95232021806196,TRUNK,16009,75009,N,10,13,11,16
10,2,65,SBST,85041,27.5,Bedok Rd,Man Fatt Lam Tp,1.3264647104527,103.95116420801884,TRUNK,16009,75009,N,10,13,11,16
10,2,66,SBST,85051,27.9,Bedok Rd,Aft Jln Chempaka Kuning,1.32956968334939,103.9488011598722,TRUNK,16009,75009,N,10,13,11,16
10,2,67,SBST,85061,28.2,Bedok Rd,Opp Bedok Mkt Pl,1.33150499798206,103.94735350449812,TRUNK,16009,75009,N,10,13,11,16
10,2,68,SBST,85081,28.4,Upp Changi Rd,Bef Jln Pari Burong,1.33292331447242,103.94719977411025,TRUNK,16009,75009,N,10,13,11,16
10,2,69,SBST,85071,28.7,Upp Changi Rd,Bef Changi Fire Stn,1.33407653133395,103.9498516702887,TRUNK,16009,75009,N,10,13,11,16
10,2,70,SBST,96101,29.1,Simei Ave,Blk 3012,1.33638500905398,103.9510568939649,TRUNK,16009,75009,N,10,13,11,16
10,2,71,SBST,96281,29.5,Simei Ave,Opp Changi General Hosp,1.33941652681162,103.94850088671714,TRUNK,16009,75009,N,10,13,11,16
10,2,72,SBST,76061,30.8,Tampines Ave 5,Blk 938,1.3482019444416,103.94189805552269,TRUNK,16009,75009,N,10,13,11,16
10,2,73,SBST,76051,31.3,Tampines Ave 5,Our Tampines Hub,1.35313809279079,103.9412639409046,TRUNK,16009,75009,N,10,13,11,16
10,2,74,SBST,75009,31.9,Tampines Ctrl 1,Tampines Int,1.35407552367477,103.94339098473914,TRUNK,16009,75009,N,10,13,11,16
100,1,1,SBST,66009,0.0,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615,TRUNK,66009,11009,N,9,12,10,18
100,1,2,SBST,62129,0.6,Upp S'goon Rd,Blk 403,1.34698958928417,103.872054885247,TRUNK,66009,11009,N,9,12,10,18
100,1,3,SBST,62119,0.9,Upp S'goon Rd,Aft Sunshine Lodge,1.34483265931476,103.8710922003054,TRUNK,66009,11009,N,9,12,10,18
100,1,4,SBST,61049,1.2,Upp S'goon Rd,Aft Bartley Rd,1.34196277802503,103.8709686110327,TRUNK,66009,11009,N,9,12,10,18
100,1,5,SBST,61039,1.6,Upp S'goon Rd,Woodleigh Stn Exit A,1.33845332842129,103.87084881783568,TRUNK,66009,11009,N,9,12,10,18
100,1,6,SBST,70069,2.0,Upp Aljunied Rd,Aft Bidadari Pk Dr,1.33839951928873,103.87591879816988,TRUNK,66009,11009,N,9,12,10,18
100,1,7,SBST,70059,2.7,Upp Aljunied Rd,Aft Joo Seng Rd,1.33477611102342,103.8783116670176,TRUNK,66009,11009,N,9,12,10,18
100,1,8,SBST,70049,2.9,Upp Aljunied Rd,Aft Blk 4,1.33290666703267,103.87871499999147,TRUNK,66009,11009,N,9,12,10,18
100,1,9,SBST,70039,3.3,Aljunied Rd,Aljunied Pk,1.32930256265165,103.87975573742912,TRUNK,66009,11009,N,9,12,10,18
100,1,10,SBST,70029,3.6,Aljunied Rd,Aft Canossa Convent Pr,1.32662552821417,103.88054354805392,TRUNK,66009,11009,N,9,12,10,18
100,1,11,SBST,70019,4.0,Aljunied Rd,Blk 125,1.32322990499562,103.88145725676176,TRUNK,66009,11009,N,9,12,10,18
100,1,12,SBST,81099,4.4,Aljunied Rd,Blk 102,1.31982276662398,103.88194665985093,TRUNK,66009,11009,N,9,12,10,18
100,1,13,SBST,81089,4.7,Aljunied Rd,Aljunied Stn,1.31628194302502,103.88202243551632,TRUNK,66009,11009,N,9,12,10,18
100,1,14,SBST,80089,5.2,Geylang Rd,Bef Lor 18 Geylang,1.31274483593155,103.88080516731976,TRUNK,66009,11009,N,9,12,10,18
100,1,15,SBST,80069,5.6,Geylang Rd,Opp Mohd Salleh Mque,1.31214703288286,103.87715016317216,TRUNK,66009,11009,N,9,12,10,18
100,1,16,SBST,80049,6.1,Geylang Rd,Aft Sims Way,1.31077707819718,103.87363663982292,TRUNK,66009,11009,N,9,12,10,18
100,1,17,SBST,80039,6.3,Geylang Rd,Opp Lor 1 Geylang Ter,1.30992336177794,103.87144344651485,TRUNK,66009,11009,N,9,12,10,18
100,1,18,SBST,80029,6.8,Kallang Rd,Bef Kg Bugis,1.3094187398083,103.86753497349068,TRUNK,66009,11009,N,9,12,10,18
100,1,19,SBST,1339,7.3,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441,TRUNK,66009,11009,N,9,12,10,18
100,1,20,SBST,1349,7.6,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417885,TRUNK,66009,11009,N,9,12,10,18
100,1,21,SBST,1429,8.0,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807765,TRUNK,66009,11009,N,9,12,10,18
100,1,22,SBST,1419,8.2,Beach Rd,St. John HQ,1.3020199999911,103.86326333301204,TRUNK,66009,11009,N,9,12,10,18
100,1,23,SBST,1529,8.6,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938,TRUNK,66009,11009,N,9,12,10,18
100,1,24,SBST,1519,8.8,Beach Rd,The Gateway,1.29907492488417,103.8589102973441,TRUNK,66009,11009,N,9,12,10,18
100,1,25,SBST,1629,9.2,Beach Rd,Shaw Twrs,1.29695972219958,103.85686527780176,TRUNK,66009,11009,N,9,12,10,18
100,1,26,SBST,1619,9.6,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424232,TRUNK,66009,11009,N,9,12,10,18
100,1,27,SBST,2029,10.4,Connaught Dr,Opp S'pore Cricket Club,1.28879015142476,103.85293318066766,TRUNK,66009,11009,N,9,12,10,18
100,1,28,SBST,3019,11.0,Collyer Quay,OUE Bayfront,1.284245000013,103.853108055996,TRUNK,66009,11009,N,9,12,10,18
100,1,29,SBST,3059,11.3,Raffles Quay,One Raffles Quay,1.28097649556002,103.85135652579493,TRUNK,66009,11009,N,9,12,10,18
100,1,30,SBST,3129,11.7,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123824,TRUNK,66009,11009,N,9,12,10,18
100,1,31,SBST,3217,12.1,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916,TRUNK,66009,11009,N,9,12,10,18
100,1,32,SBST,5649,13.0,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094,TRUNK,66009,11009,N,9,12,10,18
100,1,33,SBST,14061,13.3,Keppel Rd,Opp Former Railway Stn,1.27231269789239,103.83862035734884,TRUNK,66009,11009,N,9,12,10,18
100,1,34,SBST,14071,13.8,Keppel Rd,Keppel Workshop,1.27220342411953,103.8339025862589,TRUNK,66009,11009,N,9,12,10,18
100,1,35,SBST,14081,14.2,Keppel Rd,Tg Pagar DP Blk F5,1.270896111,103.8308919,TRUNK,66009,11009,N,9,12,10,18
100,1,36,SBST,14101,14.6,Keppel Rd,Opp Keppel DP Blk 517,1.26837500002503,103.82825805600972,TRUNK,66009,11009,N,9,12,10,18
100,1,37,SBST,14141,15.4,Telok Blangah Rd,VivoCity,1.26552421466644,103.82211326846236,TRUNK,66009,11009,N,9,12,10,18
